race_id,course,course_id,date,off_time,distance,race_class,type,age_band,prize,field_size,going,surface,horse_id,horse,age,sex,trainer,trainer_id,trainer_location,trainer_rtf,owner,owner_id,lbs,ofr,rpr,ts,jockey,jockey_id,last_run,form,current_odds,comment,spotlight,quotes,number,draw,past_results_flags,silk_url,dist_y,mean_speed_figure,last_speed_figure,best_speed_figure_at_distance,best_speed_figure_at_track,avg_finishing_position,avg_ovr_btn,avg_finishing_position_going,avg_ovr_button_on_going,best_speed_figure_on_course_going_distance,last_speed_figure_on_going_distance,jockey_win_percentage_at_distance,trainer_win_percentage_at_distance,horse_ae_at_distance,horse_win_percentage_at_distance,trainer_21_days_win_percentage,jockey_21_days_win_percentage,trainer_win_percentage_at_course,trainer_avg_ovr_btn_at_course,trainer_avg_finishing_position_at_course,benter_proba,ensemble_proba,predicted_winner,mlp_proba,rf_proba,xgboost_proba
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_37052288,Call Time,4,gelding,J S Moore,trn_46089,"Upper Lambourn, Berks",43.0,The 19th Hole Syndicate & J S Moore,own_1304272,131,55,71,53,Taylor Fisher(3),jky_305277,31,70562,4,Runner-up in all 3 visits here; didn't look easy ride latest; significant rain would help,"Runner-up in all three visits to Ffos Las, the latest when hanging his chance away in a 6f handicap last month; runs off the same mark today and returning to 5f won't hurt; significant rain would be a boost to his claims.","""[]""",3,3,"""[\""D\""]""",https://www.rp-assets.com/svg/8/6/0/326068.svg,1100,19.041890341443914,16.808862854959887,19.255181109821073,19.46886874985316,0.135135135135135,0.116279069767442,5,0.16,0,18.31721050844343,0.1,0.07,1.01,0.33,10.47,12.5,10.53,0.1255368351503138,5.2631578947368425,0.3480488127959723,0.4327014055015874,1,0.2706237414457154,0.4831128578034849,0.902949333190918
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_40725909,Son Of Astar,3,gelding,Tony Carroll,trn_87426,"Cropthorne, Worcs",59.0,A Star Recruitment Ltd,own_879124,130,56,68,65,Jack Doughty,jky_309594,31,87013,5,C&D win last month but only 3rd of five on his return visit; still relatively low mileage,Successful in a weak C&D handicap last month; only third of five back here three weeks later; handles good to soft but he would have more to prove on slower ground; not ruled out but he'll need to be at his best.,"""[]""",5,1,"""[\""CD\""]""",https://www.rp-assets.com/svg/1/8/7/219781.svg,1100,19.24133450445974,16.238559196929437,21.17651312614778,20.1432451197796,0.161290322580645,0.172413793103448,4,0.3,0,17.41701074657472,0.18,0.11,1.04,0.14,11.42,10.96,0,0,0,0.3613910650069825,0.4220623621040922,0,0.3380709337910177,0.4946644808679693,0.39867639541625977
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_42389459,Sultan Of Oj,3,gelding,Thomas Faulkner,trn_374697,"Devauden, Monmouths",,T Faulkner,own_568912,125,51,70,53,Kieran Shoemark,jky_279711,16,7354,6,Down in weights but suspicion the change of headgear will need to give him a lift,Dropped 14lb in the weights for new yard this summer; two best recent runs have come on the two occasions he has worn a hood; new headgear tried today.,"""[]""",6,2,"""[]""",https://www.rp-assets.com/svg/8/2/2/142228.svg,1100,20.108815938199808,18.299783729828647,21.57511529915452,21.51245286342647,0.172413793103448,0.151515151515152,0,0,0,19.332665594837945,0.08,0,0,0,11.9,10.64,14.81,0.2347826086956521,4.111111111111111,0.7686532736178929,0.5940223754503877,0,0.14894712470036595,0.4644035958333653,0.6339885592460632
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_34074124,Loco Lobo,7,mare,Lisa Williamson,trn_82530,"Kelsall, Cheshire",60.0,Miss Hazel Roberts,own_734752,123,47,68,54,Kieran O'Neill,jky_250764,253,80720,21,Inconsistent mare; best form has come on slow ground so needs the rain to arrive,"Inconsistent mare; of interest on her best efforts but she appears to need it soft so the rain, which is forecast, will need to arrive in time; absent for 253 days.","""[]""",7,7,"""[\""D\""]""",https://www.rp-assets.com/svg/8/8/6/183688.svg,1100,19.97389402817591,17.948031074203055,22.488514341016536,0,0.135135135135135,0.103092783505155,8,0.0952380952380952,0,18.790901103604774,0.11,0.07,1.99,0.11,11.76,11.76,12.77,0.1827727007583122,4.659574468085107,0.04757606017279025,0.17744307415212435,0,0.19351023978824422,0.3017328532034415,0.21157102286815643
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_46913328,Sundiata Keita,3,gelding,Joe Ponting,trn_345654,"Wotton-Under-Edge, Gloucs",29.0,Cherry Racing,own_1346708,133,59,69,54,Rob Hornby,jky_278322,13,896235,10,Flopped last time but in Class 5; earlier Class 6 runs give him claims,"Ran poorly in a Class 5 at Bath 13 days ago (5.7f, firm; cheekpieces on for the first time) but prior to that he had run two solid races for his new yard, including over C&D; contender.","""[]""",2,4,"""[]""",https://www.rp-assets.com/svg/7/7/6/336677.svg,1100,19.451936385290413,17.76010603048376,20.579953441959397,20.579953441959397,0.2,0.115740740740741,0,0,0,19.173214845213916,0.13,0.1,0,0,13.48,10,13.89,0.142828803808768,4.527777777777778,0.45939681252118875,0.46322398456343505,0,0.12897646912956245,0.5118821816054245,0.39399227499961853
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_52418086,Dorothy May,3,filly,Tim Easterby,trn_91368,"Great Habton, N Yorks",49.0,Habton Racing,own_1372540,133,50,58,44,Duran Fentiman,jky_246366,19,400962,4.5,Proved suited by drop to 5f when second at Wolverhampton on AW debut last time; contender,Tried over 7f/6f on first six starts; seemed to improve for the drop to 5f when second of five on AW debut at Wolverhampton last time; stiff 5f should be ideal; contender.,"""[]""",9,1,"""[]""",https://www.rp-assets.com/svg/5/3/1/343135.svg,1100,19.148678183923245,17.20478158864931,19.35220188223667,0,0.131578947368421,0.106382978723404,2,0.8,0,19.35220188223667,0.07,0.1,0,0,8.82,10.26,0,0,0,0.3891921315574464,0.4909832523906751,0,0.9018000667168057,0.5255793991150983,0.6849212050437927
rac_11708047,Sandown,crs_1404,2025-08-29 00:00:00,2:15,5f10y,Class 4,Flat,2yo,"£6,019",6,Good,Turf,hrs_53052244,Proof,2,colt,Charles Hills,trn_230652,"Lambourn, Berks",38.0,Gary And Linnet Woodward,own_477200,120,69,88,67,Saffie Osborne,jky_301050,49,29244,13,Still hasn't progressed but looks nicely handicapped judged on debut form,Five-race maiden who wasn't beaten entirely by the step up to 6f at Ascot most recently; still hasn't progressed from debut effort but a 4lb drop makes him look nicely handicapped on that form.,"""[]""",5,1,"""[]""",https://www.rp-assets.com/svg/0/0/3/119300.svg,1110,19.220783500681193,17.950391644908617,19.461514328728015,0,0.238095238095238,0.18348623853211,6.5,0.1538461538461538,0,19.401173471638295,0.1,0.16,0,0,11.43,16.13,0,0,0,0.2380091475935333,0.35599938466331327,0,0.12092791740004986,0.4838105423201838,0.5026825666427612
rac_11708086,Sandown,crs_1404,2025-08-29 00:00:00,2:45,5f10y,Class 5,Flat,3yo+,"£4,449",10,Good,Turf,hrs_51156084,Mister Sandman,3,gelding,Peter Crate,trn_233667,"Reigate, Surrey",,Peter Crate,own_118012,122,54,74,55,Darragh Keenan,jky_287445,23,89643,12,Unexposed 3yo who drops in trip with headgear added; is up in class though,"He has been more competitive since switched to turf handicaps on his last two starts, beaten 3l at Brighton and 2l at Windsor (both 6f, good); up in grade today but drops in trip with new blinkers and he's unexposed.","""[]""",10,1,"""[]""",https://www.rp-assets.com/svg/3/0/5/29503.svg,1110,19.165885951653276,17.332583005064716,0,0,0.166666666666667,0.136054421768707,3.5,0.4,0,0,0.1,0.1,0,0,16.67,11.76,11.11,0.232258064516129,5,0.27357641714678577,0.3936498037980687,0,0.27656940183834106,0.5310352468035231,0.35492169857025146
rac_11708047,Sandown,crs_1404,2025-08-29 00:00:00,2:15,5f10y,Class 4,Flat,2yo,"£6,019",6,Good,Turf,hrs_51273005,Exclamation,2,colt,Grace Harris,trn_226845,"Shirenewton, Gwent",70.0,Foxhills Racing Limited,own_1202756,134,83,89,83,David Egan,jky_286164,37,33201,3.5,Made all in Doncaster novice event last time; may build on that comfortable win,"Placed in the Brocklesby and Lily Agnes early in season; made all in Doncaster novice event (5f, good to soft) most recently, opening his account at the fifth attempt; may build on that comfortable win.","""[]""",2,4,"""[\""D\""]""",https://www.rp-assets.com/svg/9/8/6/300689.svg,1110,19.319017258831785,17.793192450395225,19.806913865506537,0,0.217391304347826,0.285714285714286,2.5,0.32,0,18.79748113893732,0.13,0.1,1.58,0.2,11.11,14.29,0,0,0,0.9752364010861413,0.8228139287540358,0,0.727702229057695,0.6789806813727188,0.84062260389328
rac_11708047,Sandown,crs_1404,2025-08-29 00:00:00,2:15,5f10y,Class 4,Flat,2yo,"£6,019",6,Good,Turf,hrs_53993968,Lebron Power,2,filly,Richard Hannon,trn_259083,"Herridge, Wilts",49.0,King Power Racing Co Ltd,own_1008844,134,83,88,52,Sean Levey,jky_253908,30,140,7.5,Ran well in C&D Listed contest on penultimate start; interesting on that form,"Always behind in conditions race at Glorious Goodwood; has shown promise ridden prominently otherwise, winning at Windsor then fourth in C&D Listed contest; interesting in this grade back at Sandown.","""[{\""date\"": \""2025-06-23\"", \""horse\"": \""Lebron Power\"", \""horse_id\"": \""hrs_53993968\"", \""race\"": \""British Stallion Studs EBF Newcomers' Maiden Stakes (Horses Which Have Never Run) (GBB Race)\"", \""race_id\"": \""rac_11651328\"", \""course\"": \""Windsor\"", \""course_id\"": \""crs_2418\"", \""distance_f\"": \""6\"", \""distance_y\"": \""1332\"", \""quote\"": \""Lebron Power found the ground a little bit quick but she's sharp, she's genuine and she's straightforward. She picked up nicely and hopefully she keeps on improving - Sean Levey, jockey, speaking to Sky Sports Racing.\""}]""",3,6,"""[]""",https://www.rp-assets.com/svg/1/1/2/252211.svg,1110,20.148959318495475,18.52830713590207,20.18933030448365,20.18933030448365,0.2,0.114285714285714,7,0.0761904761904762,20.18933030448365,20.18933030448365,0.14,0.16,0,0,8.51,9.52,0,0,0,0.8595147760122587,0.6990888810624312,0,0.616424477339798,0.5414750717778597,0.75644451379776
